iter	Passed	Remaining
671	1793	875
672	1794	872
673	1796	868
674	1797	865
675	1799	862
676	1801	859
677	1802	856
678	1805	853
679	1807	850
680	1808	847
681	1810	844
682	1812	841
683	1813	837
684	1815	834
685	1817	831
686	1818	828
687	1820	825
688	1823	822
689	1824	819
690	1826	816
691	1828	813
692	1829	810
693	1831	807
694	1833	804
695	1835	801
696	1837	798
697	1839	795
698	1840	792
699	1842	789
700	1844	786
701	1845	783
702	1847	780
703	1848	777
704	1851	774
705	1852	771
706	1854	768
707	1856	765
708	1858	762
709	1859	759
710	1861	756
711	1863	753
712	1865	750
713	1867	747
714	1868	744
715	1870	741
716	1871	738
717	1873	735
718	1875	732
719	1876	729
720	1878	726
721	1881	724
722	1883	721
723	1885	718
724	1887	715
725	1889	713
726	1891	710
727	1893	707
728	1895	704
729	1897	701
730	1899	698
731	1900	695
732	1902	693
733	1904	690
734	1906	687
735	1907	684
736	1909	681
737	1911	678
738	1913	675
739	1915	672
740	1917	670
741	1918	667
742	1920	664
743	1921	661
744	1923	658
745	1925	655
746	1927	652
747	1929	650
748	1931	647
749	1932	644
750	1934	641
751	1936	638
752	1938	635
753	1940	633
754	1942	630
755	1944	627
756	1946	624
757	1948	621
758	1949	619
759	1951	616
760	1953	613
761	1956	610
762	1957	608
763	1959	605
764	1961	602
765	1963	599
766	1965	597
767	1967	594
768	1970	591
769	1972	589
770	1974	586
771	1976	583
772	1977	580
773	1979	577
774	1981	575
775	1983	572
776	1986	570
777	1988	567
778	1990	564
779	1991	561
780	1993	559
781	1995	556
782	1997	553
783	2000	551
784	2002	548
785	2004	545
786	2005	542
787	2007	540
788	2009	537
789	2011	534
790	2013	531
791	2015	529
792	2018	526
793	2019	524
794	2021	521
795	2024	518
796	2025	515
797	2027	513
798	2030	510
799	2032	508
800	2034	505
801	2035	502
802	2038	499
803	2039	497
804	2041	494
805	2043	491
806	2045	489
807	2047	486
808	2048	483
809	2050	481
810	2052	478
811	2053	475
812	2055	472
813	2057	470
814	2060	467
815	2062	464
816	2063	462
817	2065	459
818	2067	456
819	2069	454
820	2070	451
821	2072	448
822	2074	446
823	2076	443
824	2078	440
825	2080	438
826	2082	435
827	2083	432
828	2085	430
829	2087	427
830	2090	425
831	2092	422
832	2094	419
833	2096	417
834	2097	414
835	2099	411
836	2101	409
837	2103	406
838	2105	404
839	2107	401
840	2109	398
841	2110	396
842	2112	393
843	2114	390
844	2115	388
845	2117	385
846	2120	382
847	2121	380
848	2123	377
849	2125	375
850	2127	372
851	2129	369
852	2130	367
853	2133	364
854	2135	362
855	2137	359
856	2138	356
857	2140	354
858	2142	351
859	2144	349
860	2146	346
861	2148	343
862	2150	341
863	2152	338
864	2154	336
865	2156	333
866	2157	331
867	2159	328
868	2162	325
869	2164	323
870	2166	320
871	2168	318
872	2169	315
873	2171	313
874	2173	310
875	2175	307
876	2177	305
877	2179	302
878	2181	300
879	2183	297
880	2184	295
881	2186	292
882	2188	289
883	2189	287
884	2192	284
885	2194	282
886	2196	279
887	2198	277
888	2199	274
889	2201	272
890	2203	269
891	2205	267
892	2208	264
893	2209	262
894	2211	259
895	2213	256
896	2214	254
897	2216	251
898	2218	249
899	2220	246
900	2222	244
901	2225	241
902	2226	239
903	2228	236
904	2230	234
905	2232	231
906	2234	229
907	2236	226
908	2238	224
909	2240	221
910	2242	219
911	2243	216
912	2245	213
913	2247	211
914	2250	209
915	2253	206
916	2255	204
917	2258	201
918	2260	199
919	2261	196
920	2263	194
921	2265	191
922	2267	189
923	2269	186
924	2271	184
925	2272	181
926	2274	179
927	2276	176
928	2278	174
929	2280	171
930	2282	169
931	2284	166
932	2286	164
933	2288	161
934	2290	159
935	2292	156
936	2294	154
937	2296	151
938	2298	149
939	2300	146
940	2302	144
941	2303	141
942	2305	139
943	2307	136
944	2308	134
945	2311	131
946	2313	129
947	2315	127
948	2317	124
949	2319	122
950	2320	119
951	2322	117
952	2324	114
953	2327	112
954	2328	109
955	2330	107
956	2332	104
957	2333	102
958	2335	99
959	2337	97
960	2339	94
961	2341	92
962	2343	90
963	2345	87
964	2347	85
965	2348	82
966	2350	80
967	2352	77
968	2354	75
969	2356	72
970	2358	70
971	2360	67
972	2362	65
973	2364	63
974	2365	60
975	2367	58
976	2369	55
977	2371	53
978	2373	50
979	2375	48
980	2376	46
981	2378	43
982	2380	41
983	2381	38
984	2383	36
985	2385	33
986	2387	31
987	2389	29
988	2391	26
989	2393	24
990	2394	21
991	2396	19
992	2398	16
993	2400	14
994	2402	12
995	2404	9
996	2405	7
997	2407	4
998	2409	2
999	2410	0
